chromosome	start	end	gene	log2	depth	probes	weight
21	33245627	37249972	-	-0.362071	57.2207	614	212.699
21	37406839	48084862	-	-0.342491	63.2957	1981	656.032
22	15954796	21414866	-	0.196493	94.2588	1039	337.632
22	21637506	51237818	-	0.218554	92.6011	5760	1910.98
X	150500	2734272	-	0.17577	92.6052	174	52.9175
X	2734272	23701822	-	0.0335029	67.0065	1695	611.919
X	23704401	58534862	-	0.109914	76.8261	3114	1066.37
X	61819987	83351319	-	0.0992403	73.5474	1743	613.493
X	83352779	123518704	-	0.0465297	68.1303	2775	991.983
X	123519526	144906826	-	-0.0269307	62.6304	1334	488.574
X	144906826	155240482	-	0.152258	87.5922	1462	481.045
Y	2507107	2848170	-	-12.4107	0.270853	8	4.04621
Y	2851046	6733459	-	-2.04857	8.55736	73	39.563
Y	6742568	10213338	-	-5.85444	1.4661	39	24.5065
Y	13101628	26979507	-	-5.19646	2.46758	114	83.1655
