ensgene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ABCG5,0,0,0,0,0,0,1,0
ABCG8,0,0,0,0,1,0,0,0
ABHD1,1,7,14,4,4,8,3,4
ABHD10,404,225,441,185,442,346,426,251
ABHD11,107,64,143,38,114,94,93,83
ABHD11-AS1,8,10,24,7,1,2,4,3
ABHD12,1141,1215,1415,1014,1370,1642,999,1335
ABHD12B,9,6,9,2,8,11,4,5
ABHD13,332,348,360,324,338,521,309,346
ABHD14A,146,117,136,78,138,172,126,91
ABHD14A-ACY1,0,0,2,0,0,0,0,0
ABHD14B,874,893,885,545,769,942,718,884
ABHD15,268,355,337,323,270,467,265,450
ABHD15-AS1,0,0,0,0,0,0,0,0
ABHD16A,26,23,21,14,20,27,19,18
ABHD16B,34,24,67,22,50,63,52,64
ABHD17A,1183,1158,1202,630,939,1471,981,1091
ABHD17AP1,190,149,163,73,148,202,137,148
ABHD17AP3,37,29,21,22,17,36,20,32
ABHD17AP4,90,71,87,38,81,120,50,84
ABHD17AP5,0,0,0,0,0,0,0,0
ABHD17AP6,108,120,111,61,80,160,103,81
ABHD17AP7,0,0,0,0,0,0,0,0
ABHD17AP8,0,0,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0,0,0
ABHD17B,203,196,174,174,172,318,167,212
ABHD17C,370,494,432,390,477,979,439,572
ABHD18,147,139,166,106,190,181,141,142
ABHD2,1410,1290,1584,1246,1387,2634,1583,2268
ABHD3,65,113,96,82,67,119,50,107
ABHD4,1941,1626,2623,1270,2824,2280,1844,1861
ABHD5,597,1420,824,1035,1244,1946,576,1692
ABHD6,69,99,87,65,120,175,61,101
ABHD8,245,238,276,143,257,287,250,250
ABI1,1174,1086,1186,894,1162,1432,1046,1224
ABI1P1,0,0,1,0,0,0,0,0
ABI2,1127,743,1445,725,1367,1520,1022,851
ABI3,0,0,0,0,3,1,0,0
ABI3BP,8328,7185,7480,4240,5461,7126,6526,9906
ABITRAM,280,228,330,175,424,428,265,257
ABITRAMP1,0,0,0,0,0,0,0,0
ABL1,6275,5689,7043,3128,8102,8335,5029,5348
ABL2,1024,1055,1120,917,1055,1849,806,1429
ABLIM1,445,942,784,1008,418,1326,366,1354
ABLIM2,1,1,0,0,4,40,1,2
ABLIM3,2188,2128,2717,1228,3509,2605,1381,1346
ABO,0,0,0,0,0,0,0,0
ABR,4460,2747,5147,2276,6379,5294,4367,3351
ABRA,0,0,0,0,0,5,0,1
ABRACL,173,203,97,88,162,340,141,193
ABRAXAS1,278,224,330,169,284,279,236,239
ABRAXAS2,385,389,531,351,499,666,357,409
ABT1,255,238,304,152,266,365,214,248
ABT1P1,0,0,0,0,0,0,0,0
ABTB1,893,1086,1016,801,820,1350,762,1419
ABTB2,254,245,302,216,178,226,232,311
ACAA1,487,530,615,382,625,680,437,473
ACAA2,700,746,861,628,986,1141,859,923
ACACB,357,424,493,309,236,340,304,449
ACAD10,519,407,620,309,626,738,440,513
ACAD11,0,0,2,0,2,3,1,2
ACAD8,466,404,442,273,503,544,407,385
ACAD9,529,455,610,307,567,702,423,430
ACADL,12,17,21,20,10,8,8,19
ACADM,455,405,495,388,389,570,405,583
ACADS,284,539,470,529,313,643,441,894
ACADSB,426,496,596,497,668,930,468,591
ACADVL,3351,2763,3500,1848,3549,4758,4130,3763
ACAN,6,4,393,212,156,1105,180,153
ACAP1,61,52,99,31,57,66,57,50
ACAP2,2173,1547,2409,1312,2940,2663,2035,1938
ACAP2-IT1,7,3,8,3,16,6,6,5
ACAP3,1702,1251,1366,476,1213,944,1066,896
ACAT1,896,981,1265,906,989,1097,1040,1173
ACAT2,142,177,154,84,121,174,91,119
ACBD3,1264,1131,1299,920,1482,1859,1131,1146
ACBD3-AS1,0,1,1,1,3,3,2,2
ACBD4,219,226,351,195,227,286,245,247
ACBD5,676,623,794,456,916,895,682,711
ACBD6,74,40,122,40,83,85,57,48
ACBD7,1,1,9,4,0,5,5,7
ACCS,350,313,573,306,693,761,319,288
ACCSL,0,0,0,0,0,0,0,0
ACD,255,217,241,138,249,260,213,214
ACE,50,38,63,27,149,176,67,78
ACE2,0,0,0,0,0,0,0,0
ACE3P,0,0,0,0,0,0,0,0
ACER1,0,0,1,0,1,1,0,1
ACER2,50,20,45,22,41,30,33,33
ACER2P1,2,1,1,1,3,3,3,5
ACER3,183,303,263,306,317,601,183,328
ACHE,5,3,10,2,9,4,7,10
ACIN1,4936,3842,5252,2412,5876,5023,4018,3476
ACKR1,0,1,0,0,0,2,0,1
ACKR2,9,23,8,24,9,10,12,93
ACKR3,1747,1202,1794,908,1174,900,1709,2108
ACKR4,1462,630,2238,292,2137,1439,3051,863
ACKR4P1,603,239,838,116,822,591,1211,333
ACLY,4006,4125,3821,2209,3850,5430,2998,3323
ACMSD,2,1,8,2,3,6,2,1
ACNATP,0,0,0,0,0,0,0,0
ACO1,2701,2613,3694,2080,4370,5366,2426,2260
ACO2,1127,1068,1286,709,1302,1499,853,1121
ACOD1,0,0,0,0,0,0,0,0
ACOT1,183,292,174,153,141,421,154,239
ACOT11,37,27,66,22,40,57,45,31
ACOT12,22,11,42,4,69,14,23,14
ACOT13,319,234,366,137,508,369,309,220
ACOT2,362,549,351,298,365,927,320,480
ACOT4,5,26,7,4,3,4,4,14
ACOT6,0,0,0,0,0,0,1,0
ACOT7,503,461,663,347,568,727,520,455
ACOT8,311,275,391,169,368,364,296,287
ACOT9,761,997,1011,705,844,1273,754,1054
ACOX1,843,741,984,532,1018,982,708,717
ACOX2,519,392,629,259,597,516,409,334
ACOX3,354,297,413,203,465,536,246,297
ACOXL,12,3,15,7,15,6,17,17
ACOXL-AS1,14,8,7,11,12,9,7,11
ACP1,960,854,1099,737,1138,1448,792,890
ACP2,347,393,625,462,552,797,369,544
ACP3,16,11,21,7,15,26,28,6
ACP4,2,0,2,1,0,0,2,0
ACP5,23,6,77,16,97,49,28,10
ACP6,204,117,137,72,220,238,146,150
ACP7,3,0,2,1,1,5,0,1
ACR,1,0,0,0,0,0,0,0
ACRBP,7,4,11,2,11,7,5,6
ACRP1,0,0,0,0,0,0,0,0
ACRV1,2,0,1,2,0,1,1,1
ACSBG1,3,1,3,1,0,2,1,0
ACSBG2,4,0,9,0,11,4,10,3
ACSF2,357,389,404,237,567,626,302,356
ACSF3,298,284,330,198,394,523,275,300
ACSL1,635,1637,725,1546,929,2747,799,2543
ACSL3,3219,2073,4600,1812,3107,2775,2527,2003
ACSL3-AS1,1,0,0,0,0,0,0,0
ACSL4,3811,2557,3565,1721,7062,6464,3548,2831
ACSL5,99,118,118,53,105,105,145,115
ACSL6,10,11,9,4,3,9,11,12
ACSL6-AS1,0,0,0,0,0,0,0,0
ACSM1,0,0,0,0,0,0,0,0
ACSM2A,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0,0
ACSM3,4,6,12,10,9,10,12,6
ACSM4,0,0,0,0,2,2,0,0
ACSM5,0,0,1,0,0,0,0,0
ACSM5P1,0,0,0,0,0,0,0,0
ACSM6,0,1,0,0,0,0,0,0
ACSS1,284,915,362,800,187,885,369,1293
ACSS2,618,618,722,522,782,979,503,714
ACSS3,670,497,746,526,950,1113,575,745
ACTA1,0,3,2,3,0,3,0,3
ACTA2,1169,1911,2455,3097,1734,5943,1151,2337
ACTA2-AS1,14,21,11,30,15,72,9,12
ACTB,48537,66229,72722,69788,56042,182740,45990,76960
ACTBL2,0,0,0,0,0,1,0,0
ACTBP1,0,0,0,0,0,1,0,0
ACTBP11,1,1,0,2,1,5,1,3
ACTBP12,0,0,0,0,0,1,0,0
ACTBP14,0,0,0,0,0,0,0,0
ACTBP15,0,0,0,3,0,0,1,2
ACTBP2,21,30,16,26,24,93,19,44
ACTBP6,0,0,0,0,0,0,0,0
ACTBP7,8,16,4,1,1,7,1,4
ACTBP8,0,0,1,0,1,0,0,0
ACTBP9,0,0,1,0,0,0,0,0
ACTC1,1,1,1,2,5,7,0,1
ACTE1P,0,0,0,0,0,0,0,0
ACTG1,41839,47183,53372,48163,39041,90083,41959,60075
ACTG1P1,1,1,5,1,5,2,5,7
ACTG1P10,2,2,6,2,4,6,4,3
ACTG1P11,3,4,0,0,0,0,2,4
ACTG1P12,0,0,0,0,1,0,0,0
ACTG1P13,0,0,0,0,0,0,0,0
ACTG1P14,0,1,1,1,2,2,2,1
ACTG1P15,2,2,3,0,1,4,3,0
ACTG1P16,0,0,0,0,0,0,0,0
ACTG1P17,2,1,3,4,8,6,1,0
ACTG1P18,0,0,0,0,0,0,0,0
ACTG1P19,1,0,0,0,0,1,0,1
ACTG1P2,3,4,0,0,0,0,2,4
ACTG1P20,5,9,5,0,5,4,4,2
ACTG1P21,0,0,0,0,0,2,0,0
ACTG1P22,0,0,0,0,0,0,0,1
ACTG1P23,0,0,2,0,0,1,0,0
ACTG1P24,1,1,0,0,1,1,0,1
ACTG1P25,0,1,0,0,0,1,0,2
ACTG1P3,2,1,6,2,5,1,6,2
ACTG1P4,0,0,0,0,0,0,0,0
ACTG1P9,5,6,10,14,11,22,11,16
ACTG2,258,768,567,837,892,6241,405,734
ACTL11P,0,0,0,0,0,0,0,0
ACTL6A,427,366,397,230,477,565,300,301
ACTL6B,0,0,0,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0,1,0,0,0
ACTL8,2,2,0,0,42,6,3,0
ACTL9,0,0,0,0,0,0,0,0
ACTN1,10183,10814,13511,8906,12921,30552,10168,11144
ACTN1-AS1,3,5,13,5,3,4,3,3
ACTN2,6,14,7,6,1,0,2,7
ACTN3,1,0,1,2,0,2,3,2
ACTN4,9585,12291,13120,10441,11413,32418,8479,15474
ACTN4P1,13,17,14,15,17,46,9,26
ACTN4P2,0,0,0,0,0,0,0,0
ACTP1,0,0,0,0,0,0,0,0
ACTR10,1378,1174,1346,929,1471,1772,1086,1184
ACTR1A,2839,2971,3172,2003,3083,3681,2293,2771
ACTR1AP1,0,0,1,0,1,1,0,1
ACTR1B,830,768,1055,546,868,1176,805,869
ACTR2,5228,5139,5518,4077,4742,7833,4471,5098
ACTR3,3033,3877,3400,2900,3462,6999,2651,3480
ACTR3B,75,63,109,55,79,107,79,76
ACTR3BP1,0,0,0,0,0,0,0,0
ACTR3BP2,0,0,0,0,0,0,0,0
ACTR3BP3,0,0,0,0,0,0,0,0
ACTR3BP4,0,0,0,0,0,0,0,0
ACTR3BP5,0,0,0,0,0,0,0,0
ACTR3BP7,0,0,0,0,0,0,0,0
ACTR3C,8,4,17,2,6,8,7,9
ACTR3P2,0,0,0,0,0,0,0,0
ACTR3P3,0,0,0,0,0,0,0,0
ACTR5,94,77,96,49,117,140,64,67
ACTR6,304,249,310,224,280,346,254,246
ACTR6P1,0,0,0,0,0,0,0,0
ACTR8,726,554,773,363,659,752,625,666
ACTRT1,0,0,0,0,0,0,0,0
ACTRT1P1,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0
ACTRT3,43,75,105,42,78,95,88,84
ACVR1,1744,1497,1695,1066,1872,1984,1526,1470
ACVR1B,678,713,760,555,753,1185,618,772
ACVR1C,35,12,33,6,27,10,32,14
ACVR2A,186,169,276,184,186,215,224,228
ACVR2B,117,74,101,74,131,143,74,92
ACVR2B-AS1,11,4,11,10,13,11,16,18
ACVRL1,770,1271,736,711,621,1334,535,993
ACY1,15,7,14,5,12,15,13,10
ACY3,0,0,0,0,0,0,0,0
ACYP1,157,130,172,88,272,79,140,89
ACYP2,112,103,186,119,177,226,127,157
ADA,81,67,127,38,270,179,96,65
ADA2,919,544,717,363,864,698,539,400
ADAD1,0,0,0,0,0,0,0,0
ADAD1P2,0,0,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0,0,0
ADAL,168,149,279,132,219,244,209,137
ADAM10,3449,2850,3877,2596,4356,5090,3007,3340
ADAM11,52,20,41,17,54,46,32,24
ADAM12,2228,546,3154,448,2911,1032,1110,357
ADAM15,1588,1395,1699,919,1515,1771,1286,1526
ADAM17,803,846,868,868,1068,1471,894,1418
ADAM18,0,0,0,0,0,0,0,0
ADAM19,611,600,767,756,749,946,521,1009
ADAM1A,49,51,53,20,53,53,24,27
ADAM1B,5,4,4,3,2,7,3,3
ADAM2,0,0,0,0,0,0,0,0
ADAM20,0,0,1,0,0,2,0,0
ADAM20P1,0,1,1,1,1,0,1,0
ADAM20P2,0,0,0,0,0,0,0,0
ADAM20P3,0,0,0,0,0,0,0,0
ADAM21,21,8,19,15,13,17,17,10
ADAM21P1,4,3,5,4,1,2,4,0
ADAM22,17,14,23,14,21,17,23,16
ADAM23,91,138,1078,823,252,322,645,1035
ADAM24P,0,0,0,0,0,0,0,0
ADAM28,3,4,12,3,13,44,9,17
ADAM29,1,0,0,0,0,0,1,0
ADAM30,0,0,0,0,0,0,0,0
ADAM32,25,40,38,23,27,34,11,26
ADAM33,9168,8605,8390,3590,6789,6677,5376,5220
ADAM3A,0,0,0,0,0,0,0,0
ADAM3B,0,0,0,0,0,0,0,0
ADAM5,0,1,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0
ADAM7,0,0,0,0,0,0,0,0
ADAM8,31,17,21,9,27,29,22,20
ADAM9,14773,14617,20757,13132,19348,22211,14967,16235
ADAMDEC1,7,4,3,2,1,2,8,5
ADAMTS1,6297,36486,13641,36087,10482,62996,13285,58444
ADAMTS10,452,340,480,236,503,453,392,330
ADAMTS12,618,540,1674,735,940,1661,669,692
ADAMTS13,244,199,254,145,128,167,155,186
ADAMTS14,1327,207,1521,118,1962,618,1045,152
ADAMTS15,1050,2021,1746,1138,1343,1202,1016,1937
ADAMTS16,4,1,2,0,3,0,3,1
ADAMTS17,4,16,4,3,4,5,0,2
ADAMTS18,0,0,0,0,0,0,0,0
ADAMTS19,11,2,2,0,4,1,6,1
ADAMTS19-AS1,2,0,0,0,1,0,0,0
ADAMTS2,3189,5340,4182,3452,4015,7319,3255,5448
ADAMTS20,0,0,0,0,0,0,0,0
ADAMTS3,112,178,385,221,129,254,186,371
ADAMTS4,40,67,57,30,72,49,54,73
ADAMTS5,585,4871,2984,5544,1969,5109,793,6846
ADAMTS6,155,134,223,89,249,235,100,57
ADAMTS7,1168,1199,2036,1930,1193,2941,1272,2490
ADAMTS7P3,73,87,107,106,82,189,93,149
ADAMTS7P4,40,27,37,26,36,31,24,44
ADAMTS8,4735,6307,6969,2542,9451,15667,2873,3067
ADAMTS9,39,40,20,18,25,58,27,47
ADAMTS9-AS1,0,1,1,0,0,0,1,0
ADAMTS9-AS2,25,17,27,7,30,49,20,23
ADAMTSL1,1300,583,3259,887,1454,502,2497,1501
ADAMTSL2,1,2,1,0,4,3,0,2
ADAMTSL3,6,4,6,9,7,3,16,17
ADAMTSL4,1845,3342,3156,2840,1599,2925,2564,5548
ADAMTSL4-AS1,1,0,1,0,1,5,1,1
ADAMTSL4-AS2,4,12,6,3,7,7,7,11
ADAMTSL5,317,288,512,331,269,414,413,514
ADAP1,2,2,9,20,4,15,3,15
ADAP2,12,8,24,11,17,24,28,10
ADAR,5431,4186,5710,3056,6158,6927,4299,4146
ADARB1,233,976,1131,2373,1018,7058,527,3262
ADARB2,0,0,0,0,0,0,0,0
ADARB2-AS1,0,0,0,0,0,0,0,0
ADAT1,267,237,328,154,358,318,236,203
ADAT2,181,94,285,78,282,185,245,76
ADAT3,25,28,12,5,12,19,7,21
ADCK1,107,102,128,64,138,126,113,102
ADCK2,189,212,255,199,192,285,216,339
ADCK5,103,118,133,67,128,138,112,124
ADCY1,1506,347,275,14,137,37,475,56
ADCY10,5,4,4,2,6,5,0,4
ADCY10P1,45,41,39,28,81,60,29,32
ADCY2,10,7,7,4,106,83,4,3
ADCY3,768,802,860,836,1159,1978,1040,1497
ADCY4,163,57,233,24,192,95,113,34
ADCY5,42,23,64,43,31,33,35,56
ADCY6,1534,1279,2017,1140,2051,2550,1473,1833
ADCY6-DT,1,2,4,1,2,0,0,0
ADCY7,133,119,183,65,96,127,149,142
ADCY8,49,0,12,2,34,2,88,7
ADCY9,1789,1525,1979,1119,2010,3156,1865,2116
ADCYAP1,0,0,0,0,0,0,0,0
ADCYAP1R1,0,0,0,0,0,0,1,0
ADD1,6806,6544,8304,5408,8585,11039,6135,7780
ADD2,0,0,0,0,0,0,0,1
ADD3,5609,5344,6517,3502,6004,6139,5002,5443
ADD3-AS1,2,5,7,2,6,3,2,2
ADGB,0,0,0,0,2,0,0,0
ADGRA1,0,0,0,0,0,0,0,0
ADGRA1-AS1,0,0,0,0,0,0,0,0
ADGRA2,9153,5457,9560,3956,9105,11219,9402,7425
ADGRA3,876,499,650,245,1252,699,779,439
ADGRB1,3,0,1,1,1,1,4,0
ADGRB2,607,304,593,243,769,636,679,403
ADGRB3,3,3,1,0,0,2,1,0
ADGRD1,6831,8906,9369,7332,4075,9399,5482,11071
ADGRD1-AS1,3,7,3,0,2,3,2,1
ADGRD2,0,0,0,0,0,0,0,0
ADGRE1,2,2,3,1,2,1,1,0
ADGRE2,19,19,42,37,17,35,37,36
ADGRE3,0,0,0,0,0,0,0,0
ADGRE4P,0,0,0,0,0,0,0,0
ADGRE5,476,351,618,579,296,724,712,784
ADGRF1,0,0,0,0,0,0,0,0
ADGRF2,0,0,0,0,0,0,0,0
ADGRF3,34,12,32,7,15,25,33,18
ADGRF4,0,0,0,0,0,1,0,1
ADGRF5,0,0,1,0,21,44,0,2
ADGRF5-AS1,0,0,0,0,0,0,0,0
ADGRF5P1,0,0,0,0,0,1,1,0
ADGRF5P2,0,0,0,0,0,1,0,0
ADGRG1,36,20,63,41,126,100,46,39
ADGRG2,4,16,10,7,15,14,19,17
ADGRG3,0,0,0,0,0,0,0,0
ADGRG4,0,0,0,0,1,0,0,0
ADGRG5,0,0,1,0,0,1,0,0
ADGRG6,1004,1186,639,629,371,578,465,1093
ADGRG7,0,0,1,0,0,0,0,0
ADGRL1,411,325,359,144,299,241,388,314
ADGRL1-AS1,48,23,67,36,66,76,50,37
ADGRL2,2849,2283,2975,1237,1451,1721,2329,1983
ADGRL3,0,1,3,1,7,2,6,1
ADGRL3-AS1,0,0,1,0,0,0,0,0
ADGRL4,176,110,168,76,436,362,180,107
ADGRV1,2,4,2,0,1,1,2,0
ADH1A,59,135,641,1032,567,1062,573,1310
ADH1B,27818,67189,32400,49113,33817,56547,27056,65377
ADH1C,590,1314,564,856,560,953,465,1042
ADH4,2,2,10,21,8,35,7,4
ADH5,6794,7360,8654,7013,9372,12594,6757,7784
ADH5P2,0,1,4,3,4,6,1,3
ADH5P3,0,2,1,1,0,2,2,0
ADH5P4,144,201,124,118,150,216,113,136
ADH5P5,0,0,0,0,0,0,0,0
ADH6,15,33,22,29,37,61,18,44
ADH7,0,2,3,0,5,3,1,1
ADHFE1,110,261,178,310,124,299,134,441
ADI1,1132,1535,1503,1265,1370,2063,840,1370
ADI1P1,0,0,0,0,0,0,0,0
ADI1P2,0,0,0,0,0,0,0,0
ADI1P3,0,0,0,0,0,0,0,0
ADIG,0,0,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0,0,0
ADIPOQ-AS1,0,0,0,0,0,0,0,0
ADIPOR1,1341,1438,1838,1326,1865,2532,1151,1802
ADIPOR1P1,0,0,0,0,0,0,0,0
ADIPOR1P2,0,0,0,0,0,1,0,0
ADIPOR2,1070,1033,1187,851,1181,1615,878,1102
ADIRF,0,0,0,0,0,0,0,0
ADIRF-AS1,154,76,177,103,116,104,146,119
ADK,395,339,517,310,500,484,402,424
ADM,12834,17083,18289,14952,11579,31028,14575,20100
ADM2,128,14,165,18,53,16,88,10
ADM5,2,5,1,2,2,1,2,2
ADNP,1824,1341,1976,1043,2212,2198,1577,1279
ADNP-AS1,25,9,22,13,24,24,25,11
ADNP2,480,446,560,329,594,719,411,449
ADO,374,287,407,241,384,469,321,314
ADORA1,50,9,99,24,37,32,104,19
ADORA2A,3,0,1,3,4,11,3,0
ADORA2A-AS1,6,9,5,5,6,5,9,1
ADORA2B,116,60,87,24,154,180,109,79
ADORA2BP1,1,5,1,3,4,5,0,3
ADPGK,1152,967,1250,783,1282,1564,980,1106
ADPGK-AS1,4,3,5,2,2,2,2,2
ADPRH,74,86,109,90,74,116,92,96
ADPRHL1,32,17,28,6,43,35,47,28
ADPRM,138,122,190,131,171,211,129,180
ADPRS,396,366,396,233,417,589,335,314
ADRA1A,0,1,0,0,0,1,0,0
ADRA1B,14,288,82,309,12,467,21,359
ADRA1D,22,6,22,8,47,75,11,7
ADRA2A,45,11,78,5,23,15,137,23
ADRA2C,1,5,1,2,3,15,0,0
ADRB1,0,0,0,0,0,0,0,0
ADRB2,9,3,17,3,19,25,11,6
ADRB3,0,0,0,0,0,0,0,0
ADRM1,673,586,741,477,794,1056,549,690
ADSL,633,584,758,446,768,996,574,645
ADSS1,230,113,168,41,148,227,224,102
ADSS2,756,626,857,552,989,825,777,671
ADTRP,10,2,8,7,8,13,8,1
AEBP1,10109,5690,18088,10323,14936,17042,10693,10745
AEBP2,729,550,776,377,861,861,705,554
AEN,813,712,739,318,889,1154,670,524
AFAP1,2100,1208,2661,784,2682,2346,2129,1578
AFAP1-AS1,6,4,9,0,9,6,8,3
AFAP1L1,209,709,291,530,361,807,148,781
AFAP1L2,33,4,9,3,12,2,14,6
AFDN,654,613,663,387,768,1087,580,650
AFDN-DT,2,2,1,2,0,2,1,1
AFF1,1157,1035,1488,783,1597,1604,991,1051
AFF2,12,7,2,0,0,0,2,0
AFF2-IT1,0,0,0,0,0,0,0,0
AFF3,13,1,9,3,41,22,7,1
AFF4,3540,2805,3782,2136,4450,5299,3220,3356
AFF4-DT,0,0,2,1,2,3,2,5
AFG1L,72,78,79,56,82,99,63,60
AFG3L1P,196,177,290,130,277,267,167,163
AFG3L2,527,529,560,427,665,804,519,576
AFG3L2P1,2,1,1,0,4,1,2,1
AFM,0,0,0,0,0,0,0,0
AFMID,215,225,347,227,342,529,211,298
AFP,1,2,4,1,11,8,5,2
AFTPH,468,426,559,362,631,762,515,475
AGA,823,464,738,404,504,713,680,533
AGAP1,1172,971,1212,580,1281,1544,931,1119
AGAP1-IT1,1,0,0,0,0,0,0,0
AGAP10P,114,108,153,76,125,132,122,94
AGAP11,0,0,0,0,0,0,0,0
AGAP12P,0,0,0,0,0,0,0,0
AGAP13P,26,9,17,11,14,25,16,12
AGAP2,5,2,3,3,5,1,2,4
AGAP2-AS1,14,22,24,15,21,20,20,11
AGAP3,1314,1235,1126,719,1150,1419,995,1132
AGAP4,274,231,342,179,282,309,256,210
AGAP5,3,6,2,3,4,2,10,2
AGAP6,287,307,373,210,321,407,249,237
AGAP7P,0,0,0,0,0,0,0,0
AGAP9,217,182,319,119,296,240,260,198
AGBL1-AS1,0,0,0,0,0,0,0,0
AGBL2,33,31,50,18,37,41,36,45
AGBL3,25,22,52,29,44,34,54,46
AGBL4,0,0,0,0,0,0,0,0
AGBL4-AS1,0,0,0,0,0,0,0,0
AGBL4-IT1,0,0,0,0,0,0,0,0
AGBL5,620,429,629,371,812,748,490,523
