"","ensgene","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521","hgnc_symbol"
"88","ENSG00000005206",680,586,760,418,748,1049,583,632,"SPPL2B"
"89","ENSG00000005238",805,627,850,396,989,957,596,621,"FAM214B"
"90","ENSG00000005243",1132,928,1332,755,990,1088,1038,940,"COPZ2"
"91","ENSG00000005249",220,242,281,317,291,387,209,413,"PRKAR2B"
"92","ENSG00000005302",481,523,495,316,496,687,404,379,"MSL3"
"93","ENSG00000005339",2639,1917,3135,1491,3225,3957,2378,2557,"CREBBP"
"94","ENSG00000005379",186,152,122,87,171,311,118,130,"TSPOAP1"
"95","ENSG00000005381",4,10,9,1,0,3,6,3,"MPO"
"96","ENSG00000005421",0,0,0,0,1,0,0,0,"PON1"
"97","ENSG00000005436",214,216,282,182,318,422,238,252,"GCFC2"
"98","ENSG00000005448",229,206,270,152,234,432,166,247,"WDR54"
"99","ENSG00000005469",498,379,305,171,626,508,515,472,"CROT"
"100","ENSG00000005471",64,18,60,17,21,18,52,22,"ABCB4"
"101","ENSG00000005483",1679,1466,1698,1096,2159,2558,1546,1782,"KMT2E"
"102","ENSG00000005486",768,618,1110,564,1185,1423,763,687,"RHBDD2"
"103","ENSG00000005513",10,2,5,0,5,3,5,7,"SOX8"
"104","ENSG00000005700",1069,824,1512,790,1335,1703,1157,1165,"IBTK"
"105","ENSG00000005801",200,172,295,136,320,279,197,150,"ZNF195"
"106","ENSG00000005810",2688,2018,2621,1535,2946,3682,2216,2298,"MYCBP2"
"107","ENSG00000005812",1361,1380,1381,1300,1126,1815,1162,1680,"FBXL3"
"108","ENSG00000005844",1,0,2,0,1,1,1,0,"ITGAL"
"109","ENSG00000005882",610,546,740,407,817,774,650,704,"PDK2"
"110","ENSG00000005884",708,655,1566,1114,1328,2635,1207,1457,"ITGA3"
"111","ENSG00000005889",679,593,771,465,857,1115,929,1028,"ZFX"
"112","ENSG00000005893",5102,4470,6219,3853,5653,6954,4722,5161,"LAMP2"
"113","ENSG00000005955",1329,1279,1772,1055,1705,1918,1152,1465,NA
"114","ENSG00000005961",5,11,12,3,7,5,14,10,"ITGA2B"
"115","ENSG00000005981",0,0,0,0,0,0,0,0,"ASB4"
"116","ENSG00000006007",1941,1825,2481,1676,2858,3584,1729,2105,"GDE1"
"117","ENSG00000006015",517,463,410,191,260,366,410,375,"REX1BD"
"118","ENSG00000006016",132,95,98,82,79,168,243,263,"CRLF1"
"119","ENSG00000006025",229,132,278,78,185,97,205,104,"OSBPL7"
"120","ENSG00000006042",2986,2393,3664,2077,3852,4572,2927,3010,"TMEM98"
"121","ENSG00000006047",0,1,1,0,1,0,3,0,"YBX2"
"122","ENSG00000006059",0,0,0,0,0,0,0,0,"KRT33A"
"123","ENSG00000006062",272,224,274,79,287,177,199,116,"MAP3K14"
"124","ENSG00000006071",0,0,0,0,0,0,0,0,"ABCC8"
"125","ENSG00000006074",0,0,0,0,0,0,0,1,NA
"126","ENSG00000006075",0,0,0,0,0,0,0,0,NA
"127","ENSG00000006114",1224,711,1310,560,1537,1211,990,742,NA
"128","ENSG00000006116",0,0,0,0,0,0,0,0,"CACNG3"
"129","ENSG00000006118",513,336,579,254,738,594,380,247,"TMEM132A"
"130","ENSG00000006125",7174,5362,7780,5110,8105,9420,5580,6653,"AP2B1"
"131","ENSG00000006128",0,4,1,0,0,0,0,0,"TAC1"
"132","ENSG00000006194",540,451,583,433,664,844,499,508,"ZNF263"
"133","ENSG00000006210",5,6,2,3,3,15,12,31,"CX3CL1"
"134","ENSG00000006282",1747,1317,1334,715,1633,1868,1355,1314,"SPATA20"
"135","ENSG00000006283",113,45,40,5,157,77,80,25,"CACNA1G"
"136","ENSG00000006327",540,348,668,258,720,1360,582,367,"TNFRSF12A"
"137","ENSG00000006377",0,0,0,0,0,0,0,0,"DLX6"
"138","ENSG00000006432",5,4,7,5,12,7,1,2,"MAP3K9"
"139","ENSG00000006451",1791,920,1143,544,1574,1155,1102,801,"RALA"
"140","ENSG00000006453",141,99,207,108,195,219,158,129,"BAIAP2L1"
"141","ENSG00000006459",430,327,338,289,462,373,438,499,"KDM7A"
"142","ENSG00000006468",214,94,207,120,171,229,315,263,"ETV1"
"143","ENSG00000006530",303,276,344,203,420,467,268,277,"AGK"
"144","ENSG00000006534",875,1108,1391,856,1521,2571,525,843,"ALDH3B1"
"145","ENSG00000006555",0,0,0,0,0,0,0,0,"TTC22"
"146","ENSG00000006576",924,653,1538,678,1347,1144,1454,1016,"PHTF2"
"147","ENSG00000006606",3,4,7,1,7,10,2,2,"CCL26"
"148","ENSG00000006607",652,733,924,776,674,1458,738,1144,"FARP2"
"149","ENSG00000006611",0,0,0,0,0,0,0,0,"USH1C"
"150","ENSG00000006625",207,186,216,101,289,333,171,133,"GGCT"
"151","ENSG00000006634",98,70,104,48,113,103,96,72,"DBF4"
"152","ENSG00000006638",90,47,112,43,75,49,67,52,"TBXA2R"
"153","ENSG00000006652",889,823,1047,586,1581,1768,1178,1097,"IFRD1"
"154","ENSG00000006659",0,0,0,0,0,0,0,0,"LGALS14"
"155","ENSG00000006695",166,150,221,130,209,356,139,170,"COX10"
"156","ENSG00000006704",309,221,346,170,330,276,299,331,"GTF2IRD1"
"157","ENSG00000006712",991,866,1504,715,1575,1480,1054,938,"PAF1"
"158","ENSG00000006715",2054,1582,2681,1578,2825,3223,2174,2138,"VPS41"
"159","ENSG00000006740",37,26,27,18,38,38,48,55,"ARHGAP44"
"160","ENSG00000006744",928,935,1065,617,1090,1344,693,924,"ELAC2"
"161","ENSG00000006747",3,3,1,0,2,3,2,2,"SCIN"
"162","ENSG00000006756",391,295,488,278,541,598,449,562,"ARSD"
"163","ENSG00000006757",119,140,175,86,203,221,141,143,"PNPLA4"
"164","ENSG00000006788",4,35,0,1,5,17,0,20,"MYH13"
"165","ENSG00000006831",1070,1033,1187,851,1181,1615,878,1102,"ADIPOR2"
"166","ENSG00000006837",17,6,13,7,17,13,15,8,"CDKL3"
"167","ENSG00000007001",3,3,4,0,3,0,1,1,"UPP2"
"168","ENSG00000007038",1,0,5,2,0,0,1,4,"PRSS21"
"169","ENSG00000007047",741,675,840,553,979,1121,700,798,"MARK4"
"170","ENSG00000007062",1,0,1,0,0,1,0,0,"PROM1"
"171","ENSG00000007080",617,697,698,393,786,1169,473,586,"CCDC124"
"172","ENSG00000007129",0,0,0,0,0,0,0,0,"CEACAM21"
"173","ENSG00000007168",3191,2910,3808,2388,3809,4813,2846,3212,"PAFAH1B1"
"174","ENSG00000007171",0,2,0,0,2,2,5,1,"NOS2"
"175","ENSG00000007174",0,1,1,0,2,1,1,0,"DNAH9"
"176","ENSG00000007202",4196,3353,5237,2825,5104,6764,3823,3978,"KIAA0100"
"177","ENSG00000007216",0,0,0,0,0,0,0,0,"SLC13A2"
"178","ENSG00000007237",404,114,309,42,277,144,1343,730,"GAS7"
"179","ENSG00000007255",129,145,116,115,139,175,114,101,"TRAPPC6A"
"180","ENSG00000007264",0,0,0,0,0,1,0,0,"MATK"
"181","ENSG00000007306",0,0,0,0,0,0,0,0,"CEACAM7"
"182","ENSG00000007312",1,2,0,4,5,0,1,2,"CD79B"
"183","ENSG00000007314",0,1,2,1,1,0,1,0,"SCN4A"
"184","ENSG00000007341",138,110,154,77,189,297,144,189,"ST7L"
"185","ENSG00000007350",0,0,0,0,0,0,0,0,"TKTL1"
"186","ENSG00000007372",32,35,27,22,22,38,41,39,"PAX6"
"187","ENSG00000007376",281,274,224,122,309,404,218,253,"RPUSD1"
"188","ENSG00000007384",1982,1878,1987,1001,1937,2524,1714,1983,"RHBDF1"
"189","ENSG00000007392",770,591,820,415,836,826,626,613,"LUC7L"
"190","ENSG00000007402",18,13,12,20,15,10,17,31,"CACNA2D2"
"191","ENSG00000007516",5,8,7,5,12,12,7,11,"BAIAP3"
"192","ENSG00000007520",494,464,488,252,487,728,396,436,"TSR3"
"193","ENSG00000007541",731,621,682,369,641,1005,557,730,"PIGQ"
"194","ENSG00000007545",203,207,227,148,248,303,197,191,"CRAMP1"
"195","ENSG00000007866",1474,2063,1696,1375,1246,2207,1123,1765,"TEAD3"
"196","ENSG00000007908",0,0,0,0,0,0,0,0,"SELE"
"197","ENSG00000007923",561,533,702,393,824,1009,540,549,"DNAJC11"
"198","ENSG00000007933",761,785,2179,1583,224,346,280,284,"FMO3"
"199","ENSG00000007944",373,245,522,193,514,445,321,232,"MYLIP"
"200","ENSG00000007952",10,11,8,9,12,17,4,9,"NOX1"
"201","ENSG00000007968",1,4,1,2,0,2,0,0,"E2F2"
"202","ENSG00000008018",1669,1479,1787,1096,1633,1970,1340,1398,"PSMB1"
"203","ENSG00000008056",8,24,25,15,15,24,13,21,"SYN1"
"204","ENSG00000008083",277,260,284,220,308,541,227,364,"JARID2"
"205","ENSG00000008086",98,90,128,37,142,176,106,93,"CDKL5"
"206","ENSG00000008118",3,3,9,2,9,4,6,12,"CAMK1G"
"207","ENSG00000008128",32,23,24,10,14,17,30,28,"CDK11A"
"208","ENSG00000008130",1276,1814,1413,1420,1445,2354,1103,2475,"NADK"
"209","ENSG00000008196",1,1,1,1,0,0,0,0,"TFAP2B"
"210","ENSG00000008197",0,0,0,0,0,0,0,0,"TFAP2D"
"211","ENSG00000008226",9,4,5,2,6,3,5,14,"DLEC1"
"212","ENSG00000008256",1815,3053,3036,3707,2771,8634,2115,5313,"CYTH3"
"213","ENSG00000008277",17,14,23,14,21,17,23,16,"ADAM22"
"214","ENSG00000008282",1874,1763,1958,1647,1894,2700,1835,2144,"SYPL1"
"215","ENSG00000008283",559,480,612,339,629,837,440,427,"CYB561"
"216","ENSG00000008294",2819,2278,3539,2009,3259,3911,2953,2980,"SPAG9"
"217","ENSG00000008300",62,81,87,49,124,175,72,87,"CELSR3"
"218","ENSG00000008311",494,949,565,655,451,1037,447,1103,"AASS"
"219","ENSG00000008323",7,12,4,3,11,19,5,5,"PLEKHG6"
"220","ENSG00000008324",111,153,85,102,109,146,114,142,"SS18L2"
"221","ENSG00000008382",81,66,88,49,110,147,69,81,"MPND"
"222","ENSG00000008394",2722,2822,2967,1948,7202,8116,2520,2678,"MGST1"
"223","ENSG00000008405",249,261,269,165,277,411,312,253,"CRY1"
"224","ENSG00000008438",0,6,1,1,1,1,0,3,"PGLYRP1"
"225","ENSG00000008441",13653,9483,13436,6080,12077,11576,12068,9821,"NFIX"
"226","ENSG00000008513",2057,1206,1752,588,2655,2319,1624,1090,"ST3GAL1"
"227","ENSG00000008516",3,1,3,0,6,5,2,3,"MMP25"
"228","ENSG00000008517",277,120,323,97,92,100,290,164,"IL32"
"229","ENSG00000008710",4997,5334,5264,3282,4274,9038,4670,7609,"PKD1"
"230","ENSG00000008735",13,21,18,13,18,14,14,26,"MAPK8IP2"
"231","ENSG00000008838",1228,1002,1320,685,1431,1724,1022,1128,"MED24"
"232","ENSG00000008853",429,487,510,442,513,822,473,828,"RHOBTB2"
"233","ENSG00000008869",737,646,780,471,798,947,673,731,"HEATR5B"
"234","ENSG00000008952",4473,4375,5375,3611,5753,8077,4886,5187,"SEC62"
"235","ENSG00000008988",12982,11687,13055,6973,11456,13255,9469,9293,"RPS20"
"236","ENSG00000009307",14887,12833,19863,11612,19887,22097,13495,14987,"CSDE1"
"237","ENSG00000009335",2019,2042,2213,1518,2429,3246,1742,2027,"UBE3C"
"238","ENSG00000009413",4986,9573,5214,7251,5563,10312,4700,11982,"REV3L"
"239","ENSG00000009694",20,7,2,2,2,0,1,1,"TENM1"
"240","ENSG00000009709",0,0,0,0,0,0,0,0,"PAX7"
"241","ENSG00000009724",38,28,66,24,42,41,47,36,"MASP2"
"242","ENSG00000009765",0,2,0,1,0,2,0,3,"IYD"
"243","ENSG00000009780",153,209,153,165,147,198,140,206,"FAM76A"
"244","ENSG00000009790",18,11,15,7,12,14,10,10,"TRAF3IP3"
"245","ENSG00000009830",425,418,440,295,508,611,374,363,"POMT2"
"246","ENSG00000009844",829,672,1049,545,1087,1229,752,820,"VTA1"
"247","ENSG00000009950",2,9,1,1,0,0,0,5,"MLXIPL"
"248","ENSG00000009954",2800,2611,3397,1970,3813,3894,2838,2788,"BAZ1B"
"249","ENSG00000010017",1300,1960,1559,1655,1705,2501,1407,2681,"RANBP9"
"250","ENSG00000010030",28,13,20,8,15,10,17,8,"ETV7"
"251","ENSG00000010072",169,141,202,125,212,221,164,156,"SPRTN"
"252","ENSG00000010165",947,938,1152,605,1030,1122,807,797,"EEF1AKNMT"
"253","ENSG00000010219",200,157,246,110,256,266,172,146,"DYRK4"
"254","ENSG00000010244",2085,1998,2170,1331,2616,3317,1545,1756,"ZNF207"
"255","ENSG00000010256",1630,1776,1661,1331,1973,3206,1240,1964,"UQCRC1"
"256","ENSG00000010270",879,803,837,511,961,1038,591,686,"STARD3NL"
"257","ENSG00000010278",3125,3522,3829,3645,2693,5055,3603,5260,"CD9"
"258","ENSG00000010282",0,0,0,0,0,0,0,0,"HHATL"
"259","ENSG00000010292",1331,1028,1365,823,1281,1498,1073,1296,"NCAPD2"
"260","ENSG00000010295",1427,1228,1714,820,936,1046,1187,1273,"IFFO1"
"261","ENSG00000010310",11,5,29,6,23,12,22,12,"GIPR"
"262","ENSG00000010318",68,56,80,60,85,70,81,88,"PHF7"
"263","ENSG00000010319",1,0,2,0,0,2,0,1,"SEMA3G"
"264","ENSG00000010322",2635,1889,3298,1480,3737,3715,2447,2226,"NISCH"
"265","ENSG00000010327",0,0,1,1,0,1,1,1,"STAB1"
"266","ENSG00000010361",188,178,236,132,150,191,165,227,"FUZ"
"267","ENSG00000010379",0,1,4,1,0,0,0,0,"SLC6A13"
"268","ENSG00000010404",1483,1306,2374,1593,2171,3097,1790,2175,"IDS"
"269","ENSG00000010438",5,5,10,5,17,35,26,19,"PRSS3"
"270","ENSG00000010539",128,99,139,83,153,177,122,97,"ZNF200"
"271","ENSG00000010610",31,23,95,49,133,136,24,17,"CD4"
"272","ENSG00000010626",149,107,194,105,169,180,151,113,"LRRC23"
"273","ENSG00000010671",0,0,0,0,1,1,0,0,"BTK"
"274","ENSG00000010704",513,315,595,327,483,521,462,494,"HFE"
"275","ENSG00000010803",758,686,864,523,966,1042,702,714,"SCMH1"
"276","ENSG00000010810",1689,1674,1655,933,2496,2859,1318,1466,"FYN"
"277","ENSG00000010818",1654,1096,1795,742,2004,2053,1371,1099,"HIVEP2"
"278","ENSG00000010932",14,20,80,61,0,21,23,23,"FMO1"
"279","ENSG00000011007",1184,1093,1130,789,1249,1621,877,1052,"ELOA"
"280","ENSG00000011009",452,473,489,292,514,755,391,465,"LYPLA2"
"281","ENSG00000011021",697,581,629,382,667,820,569,714,"CLCN6"
"282","ENSG00000011028",18210,13395,23978,10779,18026,19714,16880,15349,"MRC2"
"283","ENSG00000011052",0,0,0,0,0,0,0,0,"NME1-NME2"
"284","ENSG00000011083",0,0,1,1,1,0,0,0,"SLC6A7"
"285","ENSG00000011105",3067,2923,3305,2380,3330,5276,3853,4784,"TSPAN9"
"286","ENSG00000011114",1278,1090,1233,806,1397,1755,1079,1110,"BTBD7"
"287","ENSG00000011132",186,200,220,115,223,270,164,192,"APBA3"
"288","ENSG00000011143",185,132,203,86,145,138,145,131,"MKS1"
"289","ENSG00000011198",597,1420,824,1035,1244,1946,576,1692,"ABHD5"
"290","ENSG00000011201",1,0,1,0,0,0,0,0,"ANOS1"
"291","ENSG00000011243",675,603,810,369,935,878,604,575,"AKAP8L"
"292","ENSG00000011258",421,279,412,225,487,411,418,360,"MBTD1"
"293","ENSG00000011260",472,469,375,294,428,561,325,389,"UTP18"
"294","ENSG00000011275",1709,1488,1906,1069,2174,2655,1579,1654,"RNF216"
"295","ENSG00000011295",399,370,437,331,454,552,372,379,"TTC19"
"296","ENSG00000011304",3594,3854,3158,2420,3609,5568,3118,3948,"PTBP1"
"297","ENSG00000011332",11,8,18,9,12,24,5,7,"DPF1"
"298","ENSG00000011347",182,100,161,59,233,148,247,95,"SYT7"
"299","ENSG00000011376",561,482,445,268,459,611,346,333,"LARS2"
"300","ENSG00000011405",1115,1271,1550,1100,1832,2694,1221,1672,"PIK3C2A"
"301","ENSG00000011422",389,349,502,240,340,561,406,397,"PLAUR"
"302","ENSG00000011426",251,228,250,145,274,313,199,192,"ANLN"
"303","ENSG00000011451",1589,1667,1666,925,1689,2141,1405,1415,"WIZ"
"304","ENSG00000011454",1872,1815,2408,2249,2322,3745,1846,2501,"RABGAP1"
"305","ENSG00000011465",219586,191767,422752,214062,293318,313112,378834,372489,"DCN"
"306","ENSG00000011478",101,130,131,135,123,252,110,163,"QPCTL"
"307","ENSG00000011485",789,1106,911,667,1018,1666,672,1110,"PPP5C"
"308","ENSG00000011523",709,677,1001,557,1008,1240,658,949,"CEP68"
"309","ENSG00000011566",880,1189,1295,1207,1359,3045,856,1722,"MAP4K3"
"310","ENSG00000011590",3,6,7,1,1,6,0,0,"ZBTB32"
"311","ENSG00000011600",0,1,4,3,0,0,3,2,"TYROBP"
"312","ENSG00000011638",958,816,877,683,871,988,921,1011,"TMEM159"
"313","ENSG00000011677",0,1,0,0,0,0,0,0,"GABRA3"
"314","ENSG00000012048",322,98,418,95,326,168,265,155,"BRCA1"
"315","ENSG00000012061",812,747,1105,492,1038,1454,657,713,"ERCC1"
"316","ENSG00000012124",0,1,0,0,0,1,0,0,"CD22"
"317","ENSG00000012171",1821,940,2266,654,1361,1049,1382,953,"SEMA3B"
"318","ENSG00000012174",713,607,812,516,805,1134,650,709,"MBTPS2"
"319","ENSG00000012211",124,136,127,68,140,181,103,129,"PRICKLE3"
"320","ENSG00000012223",0,0,0,1,4,4,0,0,"LTF"
"321","ENSG00000012232",1145,983,1402,889,1597,1982,1109,1281,"EXTL3"
"322","ENSG00000012504",0,0,0,0,0,0,0,1,"NR1H4"
"323","ENSG00000012660",2045,1814,2584,2229,2275,3863,1863,2650,"ELOVL5"
"324","ENSG00000012779",0,2,0,0,0,0,0,0,"ALOX5"
"325","ENSG00000012817",1094,988,1254,628,1392,1414,1,1,"KDM5D"
"326","ENSG00000012822",4637,5256,6763,4921,6378,8615,4635,7894,"CALCOCO1"
"327","ENSG00000012963",572,525,684,380,562,518,571,518,"UBR7"
"328","ENSG00000012983",1782,1400,2309,1231,2551,2868,1768,1724,"MAP4K5"
"329","ENSG00000013016",2011,3335,1842,1018,1832,3358,1197,1535,"EHD3"
"330","ENSG00000013275",1005,983,1002,660,1096,1429,739,778,"PSMC4"
"331","ENSG00000013288",3030,2465,4089,2353,4067,5100,2208,2814,"MAN2B2"
"332","ENSG00000013293",268,23,435,56,558,75,562,74,"SLC7A14"
"333","ENSG00000013297",6494,1515,5298,1369,5198,1173,5335,1735,"CLDN11"
"334","ENSG00000013306",1011,963,1092,558,1323,1505,813,847,"SLC25A39"
"335","ENSG00000013364",8611,7956,8539,5287,7726,10024,6716,8061,"MVP"
"336","ENSG00000013374",1036,1070,1483,951,1550,1816,1031,1298,"NUB1"
"337","ENSG00000013375",1031,726,1277,541,1380,1603,1020,798,"PGM3"
"338","ENSG00000013392",243,153,301,162,329,333,299,245,"RWDD2A"
"339","ENSG00000013441",2512,2587,2403,2111,3280,3406,2235,2991,"CLK1"
"340","ENSG00000013503",248,252,304,168,311,404,202,219,"POLR3B"
"341","ENSG00000013523",358,299,451,190,486,434,353,289,"ANGEL1"
"342","ENSG00000013561",788,845,960,755,989,1242,676,930,"RNF14"
"343","ENSG00000013563",140,110,212,146,255,289,143,137,"DNASE1L1"
"344","ENSG00000013573",337,210,254,81,226,205,248,199,"DDX11"
"345","ENSG00000013583",1181,1174,1435,1240,1594,2112,987,1548,"HEBP1"
"346","ENSG00000013588",531,409,920,538,868,635,380,464,"GPRC5A"
"347","ENSG00000013619",795,1112,1211,816,1314,1692,870,1184,"MAMLD1"
"348","ENSG00000013725",0,0,0,0,0,0,0,0,"CD6"
"349","ENSG00000013810",75,88,98,45,58,87,57,63,"TACC3"
"350","ENSG00000014123",930,699,995,619,1123,1124,870,837,"UFL1"
"351","ENSG00000014138",192,139,217,99,156,177,168,152,"POLA2"
"352","ENSG00000014164",585,486,588,296,532,704,259,301,"ZC3H3"
"353","ENSG00000014216",3263,3554,3997,2439,3454,5221,2780,3525,"CAPN1"
"354","ENSG00000014257",16,11,21,7,15,26,28,6,"ACP3"
"355","ENSG00000014641",1613,1303,1876,1058,1834,2022,1274,1262,"MDH1"
"356","ENSG00000014824",1160,980,1561,997,1621,2217,1068,1256,"SLC30A9"
"357","ENSG00000014914",590,350,814,396,672,513,702,558,"MTMR11"
"358","ENSG00000014919",699,559,778,448,785,840,537,524,"COX15"
"359","ENSG00000015133",5,9,4,7,5,8,5,1,"CCDC88C"
"360","ENSG00000015153",185,270,233,203,262,311,173,212,"YAF2"
"361","ENSG00000015171",2085,1840,2567,1466,2761,3188,2027,1941,"ZMYND11"
"362","ENSG00000015285",6,5,10,1,10,4,4,1,"WAS"
"363","ENSG00000015413",0,2,0,1,0,7,0,3,"DPEP1"
"364","ENSG00000015475",274,261,364,214,533,602,251,245,"BID"
